Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Xero","F005","19.9 Parfume Pocket 1 CERRUTI","WNL","WALL-J-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","CERRUTI",0.0000,0.0000,0.0000,
"Xero","F006","19.9 Parfume Pocket 2 BURBERRY","WNL","WALL-K-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","BURBERRY",0.0000,0.0000,0.0000,
"Item","apdcoupon2","2020贺岁 红包 100欧（价值160欧）","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Item","apdcoupon1","2020贺岁 红包 60欧（价值90欧）","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"CC","","","",0.0000,0.0000,0.0000,
"Xero","4011700742301","4711 Acqua Colonia Blood Orange & Basil EDC 170ml (T)","WNL","","",,"",0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,1.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","4011700742301","4711 Acqua Colonia Blood Orange & Basil EDC 170ml (T)","WNL","3-B-3","",,"",100.0000,32.0000,0.0000,32.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","4011700742066","4711 Acqua Colonia Lemon & Ginger EDC 170ml (T)","WNL","4-C-5","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","4011700744695","4711 Acqua Colonia Lime & Nutmeg EDC 170ml (T)","WNL","","",,"",0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,1.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","4011700744695","4711 Acqua Colonia Lime & Nutmeg EDC 170ml (T)","WNL","5-E-5","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","4011700747467","4711 Acqua Colonia Myrrh Kumquat EDC 170ml (T)","WNL","5-E-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","4011700747474","4711 Acqua Colonia Saffron & Iris EDC 170ml (T)","WNL","1-H-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","5056245002878","5x5ml (Artemisia, Elisabethan Rose, Halfeti, Empressa, Luna)","WNL","OUT CT","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","3700431419095","5x7.5ml (Do Son+LeOmbre dans l???Eau+Tam Dao+Fleur de Peau+Eau de Minth??|)","WNL","3-F-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","3700431419095","5x7.5ml (Do Son+LeOmbre dans l???Eau+Tam Dao+Fleur de Peau+Eau de Minth??|)","WNL","3-G-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8028713571626","A. DI PARMA COFF ARANCIA EDT 75+S/G+B/L","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACQUA DI PARMA",0.0000,0.0000,0.0000,
"Xero","8028713571640","A. DI PARMA COFF FICO EDT 75+S/G+B/L","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACQUA DI PARMA",0.0000,0.0000,0.0000,
"Xero","8028713571633","A. DI PARMA COFF MIRTO EDT 75+S/G+B/L","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACQUA DI PARMA",0.0000,0.0000,0.0000,
"Xero","8028713400551","A. DI PARMA COFF PEONIA N EDP100+S/G+B/C","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACQUA DI PARMA",0.0000,0.0000,0.0000,
"Xero","8028713490422","A. DI PARMA COFF ROSA N EDP100+S/G+B/C","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACQUA DI PARMA",0.0000,0.0000,0.0000,
"Xero","3660732523290","A.COLOGNE SET CLEMENTINE VDC 100ML+30ML","WNL","2-A-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8427395957290","AB WILF FOREST EDT 90ML","WNL","WALL-J-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","85715167231","Abercrombie & Fitch First Instinct Blue perfume women EDP 100ml (T)","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230009178","ACCA KAPPA 3 X 15 SET - CALYCANTHUS EDP 15ML + WHITE MOSS EDP 15ML + TILIA CORDATA EDP 15ML GIFT SET FOR WOMEN","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230009178","ACCA KAPPA 3 X 15 SET - CALYCANTHUS EDP 15ML + WHITE MOSS EDP 15ML + TILIA CORDATA EDP 15ML GIFT SET FOR WOMEN","WNL","F7","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230008928","ACCA KAPPA 3 X 15 SET 1869 EDP 15ML + BLACK PEPPER AND SANDALWOOD EDP 15ML + WHITE MOSS EDP 15ML GIFT SET FOR MEN","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230008928","ACCA KAPPA 3 X 15 SET 1869 EDP 15ML + BLACK PEPPER AND SANDALWOOD EDP 15ML + WHITE MOSS EDP 15ML GIFT SET FOR MEN","WNL","F7","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230005293","ACCA KAPPA BEECHWOOD OVAL BRUSH","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230005293","ACCA KAPPA BEECHWOOD OVAL BRUSH","WNL","5-J-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230016923","ACCA KAPPA BEECHWOOD PROTECTION BRUSH LOOPED PINS","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230016923","ACCA KAPPA BEECHWOOD PROTECTION BRUSH LOOPED PINS","WNL","G7","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230002742","Acca Kappa Calycanthus EDP 100ml","WNL","","",,"",3455.6160,96.0000,0.0000,96.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230002742","Acca Kappa Calycanthus EDP 100ml","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230002742","Acca Kappa Calycanthus EDP 100ml","WNL","WALL-J-2","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230024232","Acca Kappa Mandarin & Green Tea EDP 100ml","WNL","3-C-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230024232","Acca Kappa Mandarin & Green Tea EDP 100ml","WNL","5-F-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230024232","Acca Kappa Mandarin & Green Tea EDP 100ml","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230800607","ACCA KAPPA WHITE MOSS BAD & DOUCHE 500 ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800607","ACCA KAPPA WHITE MOSS BAD & DOUCHE 500 ML","WNL","1-G-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800607","ACCA KAPPA WHITE MOSS BAD & DOUCHE 500 ML","WNL","3-I-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
