store,websites,attribute_set,type,sku,name,qty,sku_type
admin,base,Fragrance,simple,8717774840825,"Orto Parisi Viride Eau de Parfum 50ml",0.0000,
admin,base,Fragrance,simple,8016741852510,"Tiziana Terenzi Kaff Extrait De Parfum 100ml",5.0000,
admin,base,Fragrance,simple,8016741652431,"Tiziana Terenzi Ursa  Extrait de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,6250531121237,"Oriza L. Legrand Relique d'Amour Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,6257001305841,"Oriza L. Legrand Relique d'Amour Eau de Parfum 50ml",7.0000,
admin,base,Fragrance,simple,6257001224052,"Oriza L. Legrand Deja le Printemps Eau de Parfum 50ml",5.0000,
admin,base,Fragrance,simple,6238401181222,"Oriza L. Legrand Deja le Printemps Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,6230894116743,"Oriza L. Legrand Chypre Mousse Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,6257001111111,"Oriza L. Legrand Chypre Mousse Eau de Parfum 50ml",2.0000,
admin,base,Fragrance,simple,6257001235749,"Oriza L. Legrand Foin Fraichement Coupe Eau de Parfum 50ml",9.0000,
admin,base,Fragrance,simple,6247775128756,"Oriza L. Legrand Foin Fraichement Coupe Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,6257001265746,"Oriza L. Legrand Jardins d'Armide Eau de Parfum 50ml",9.0000,
admin,base,Fragrance,simple,6250531111658,"Oriza L. Legrand Jardins d'Armide Eau de Parfum 100ml",8.0000,
admin,base,Fragrance,simple,6250531121244,"Oriza L. Legrand Reve d'Ossian Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,6257001306049,"Oriza L. Legrand Reve d'Ossian Eau de Parfum 50ml",0.0000,
admin,base,Fragrance,simple,6257001325747,"Oriza L. Legrand Vetiver Royal Bourbon Eau de Parfum 50ml",0.0000,
admin,base,Fragrance,simple,6250545662665,"Oriza L. Legrand Vetiver Royal Bourbon Eau de Parfum 100ml",4.0000,
admin,base,Fragrance,simple,6257001246431,"Oriza L. Legrand Heliotrope Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001247742,"Oriza L. Legrand Horizon Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001236449,"Oriza L. Legrand Gentry Jockey Club Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001223746,"Oriza L. Legrand Cuir de L'Aigle Russe Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001276346,"Oriza L. Legrand Les Tourterelles de Zelmis Eau de Parfum 50ml",0.0000,
admin,base,Fragrance,simple,6257001277749,"Oriza L. Legrand Marions Nous Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001295743,"Oriza L. Legrand Oeillet Louis XV Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001344342,"Oriza L. Legrand Villa Lympia Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001345752,"Oriza L. Legrand Violettes du Czar Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001275769,"Oriza L. Legrand Le Regent Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001306442,"Oriza L. Legrand Royal Oeillet Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001316349,"Oriza L. Legrand Scotch Lavander Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,6257001317445,"Oriza L. Legrand Secret Joly Eau de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,8681008055418,"Nishane Wulong Cha Extrait de Parfum 50 ml",4.0000,
admin,base,Fragrance,simple,8681008055425,"Nishane Ambra Calabria Extrait de Parfum 50 ml",6.0000,
admin,base,Fragrance,simple,8681008055586,"Nishane Hundred Silent Ways Extrait de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,8681008055579,"Nishane Fan Your Flames Extrait de Parfum 50 ml",1.0000,
admin,base,Fragrance,simple,8681008055494,"Nishane Tuberoza Extrait de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,8681008055296,"Nishane Nanshe Extrait de Parfum 50 ml",2.0000,
admin,base,Fragrance,simple,8681008055067,"Nishane ANI Extrait de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,8681008055005,"Nishane B-612 Extrait de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,8681008055012,"Nishane Vain & Naive Extrait de Parfum 50 ml",9.0000,
admin,base,Fragrance,simple,8681008055548,"Nishane Pachuli Kozha Extrait de Parfum 50 ml",8.0000,
admin,base,Fragrance,simple,8681008055531,"Nishane Suede et Safran Extrait de Parfum 50 ml",4.0000,
admin,base,Fragrance,simple,8681008055388,"Nishane Hacivat Extrait de Parfum 50 ml",3.0000,
admin,base,Fragrance,simple,8681008055401,"Nishane Karagoz Extrait de Parfum 50 ml",3.0000,
admin,base,Fragrance,simple,886266311259,"Floris No. 89 Eau de Toilette 100ml （Tester）",22.0000,
admin,base,Fragrance,simple,886266041255,"Floris Fleur Eau de Toilette 100ml （Tester）",2.0000,
admin,base,Fragrance,simple,886266321258,"Floris Santal Eau de Toilette 100ml （Tester）",0.0000,
admin,base,Fragrance,simple,886266471151,"Floris Honey Oud Eau de Parfum 100ml （Tester）",0.0000,
admin,base,Fragrance,simple,886266451153,"Floris Jermyn Street Eau de Parfum 100 ml （Tester）",2.0000,
admin,base,Fragrance,simple,886266301260,"Floris Elite Eau de Toilette 100ml （Tester）",0.0000,
admin,base,Fragrance,simple,886266121254,"Floris Special no.127 Eau de Toilette 100ml  （Tester）",0.0000,
